Player,Team,Mat,Inns,NO,Runs,Ave,BF,SR,100,50,0,4s,6s
Azmatullah Omarzai ,AFG,7,7,0,101,14.42,90,112.22,0,0,0,5,4
NR Kumar ,USA,6,5,1,99,24.75,86,115.11,0,0,0,6,4
SA Engelbrecht ,NED,4,4,0,98,24.5,92,106.52,0,0,0,6,3
AK Markram ,SA,7,7,0,96,13.71,96,100,0,0,1,9,2
Mahmudullah ,BAN,7,7,1,95,15.83,101,94.05,0,0,0,8,3
RL Chase ,WI,6,3,1,94,47,72,130.55,0,1,1,7,4
Ayaan Khan ,OMA,4,4,1,93,31,95,97.89,0,0,0,6,3
A Johnson ,CAN,3,3,0,89,29.66,73,121.91,0,1,0,12,4
MA Jones ,SCOT,4,4,1,89,29.66,66,134.84,0,0,0,8,5
BA King ,WI,5,5,1,86,21.5,68,126.47,0,0,0,13,2
Gulbadin Naib ,AFG,7,7,1,81,13.5,78,103.84,0,0,2,7,3
RR Hendricks ,SA,7,7,0,80,11.42,99,80.8,0,0,2,7,2
MP O'Dowd ,NED,4,4,1,79,26.33,78,101.28,0,1,0,7,2
AD Russell ,WI,7,6,3,78,26,47,165.95,0,0,0,8,4
Tanzid Hasan ,BAN,7,7,0,76,10.85,79,96.2,0,0,3,11,1
BKG Mendis ,SL,3,3,0,75,25,67,111.94,0,0,0,8,0
SR Taylor ,USA,6,6,0,74,12.33,82,90.24,0,0,1,7,3
KIC Asalanka ,SL,3,3,0,71,23.66,51,139.21,0,0,0,1,6
NS Dhaliwal ,CAN,3,3,0,71,23.66,61,116.39,0,1,0,8,3
S Movva ,CAN,3,3,1,71,35.5,61,116.39,0,0,0,5,2
K Doriga ,PNG,4,4,1,71,23.66,77,92.2,0,0,0,6,1
SA Edwards ,NED,4,4,0,71,17.75,64,110.93,0,0,0,5,2
DP Conway ,NZ,4,4,1,70,23.33,65,107.69,0,0,0,7,3
Harmeet Singh ,USA,6,4,0,69,17.25,50,138,0,0,1,4,5
S Bau ,PNG,4,4,0,67,16.75,80,83.75,0,1,1,8,1
Vikramjit Singh ,NED,4,4,0,67,16.75,71,94.36,0,0,0,5,3
MD Patel ,USA,2,2,0,66,33,54,122.22,0,1,0,9,1
CJ Anderson ,USA,6,5,1,66,16.5,72,91.66,0,0,0,1,3
V Kohli ,IND,6,6,0,66,11,66,100,0,0,2,2,4
N Davin ,NAM,4,4,0,64,16,66,96.96,0,0,0,7,2
Aasif Sheikh ,NEP,3,3,0,63,21,71,88.73,0,0,0,9,1
MM Ali ,ENG,7,4,0,63,15.75,41,153.65,0,0,0,2,5
AD Mathews ,SL,3,3,1,62,31,50,124,0,0,0,2,4
LS Livingstone ,ENG,7,3,0,61,20.33,33,184.84,0,0,0,3,5
